,Year,State,Population,GSP ($ million),Energy consumption (PJ),Energy consumption per capita (GJ/person),Energy intensity (GJ/$ million),Energy productivity ($ million/PJ)
0,2003,New South Wales,6948072,468978,1510.5,217.4,3220.8,310.5
1,2003,Northern Territory,201725,14719,56.8,281.5,3857.8,259.2
2,2003,Queensland,3743121,213796,1064.0,284.3,4976.9,200.9
3,2003,South Australia,1520399,83989,357.3,235.0,4254.1,235.1
4,2003,Tasmania,478534,22437,99.5,207.9,4434.6,225.5
5,2003,Victoria,4873809,303991,1336.9,274.3,4397.9,227.4
6,2003,Western Australia,1952741,161209,721.3,369.4,4474.3,223.5
7,2004,New South Wales,6979675,481840,1574.8,225.6,3268.3,306.0
8,2004,Northern Territory,202663,14829,58.7,289.4,3955.4,252.8
9,2004,Queensland,3829970,228058,1081.1,282.3,4740.5,210.9
10,2004,South Australia,1528189,86754,371.5,243.1,4282.7,233.5
11,2004,Tasmania,483178,23580,103.4,214.0,4385.1,228.0
12,2004,Victoria,4927149,315294,1371.4,278.3,4349.7,229.9
13,2004,Western Australia,1979542,172997,731.7,369.6,4229.7,236.4
14,2005,New South Wales,7024605,488812,1544.9,219.9,3160.6,316.4
15,2005,Northern Territory,205905,15503,61.5,298.9,3969.3,251.9
16,2005,Queensland,3918494,240304,1225.1,312.6,5098.1,196.2
17,2005,South Australia,1538804,88563,355.6,231.1,4014.7,249.1
18,2005,Tasmania,486202,24205,107.4,220.9,4436.9,225.4
19,2005,Victoria,4989246,328589,1363.0,273.2,4148.0,241.1
20,2005,Western Australia,2011207,179367,749.7,372.7,4179.5,239.3
21,2006,New South Wales,7077860,495062,1546.0,218.4,3122.8,320.2
22,2006,Northern Territory,209057,16513,73.0,349.2,4420.7,226.2
23,2006,Queensland,4007992,252654,1279.5,319.2,5064.3,197.5
24,2006,South Australia,1552529,89745,350.1,225.5,3901.3,256.3
25,2006,Tasmania,489302,25164,111.6,228.0,4433.9,225.5
26,2006,Victoria,5061266,335922,1436.0,283.7,4274.7,233.9
27,2006,Western Australia,2050581,188177,758.6,370.0,4031.5,248.0
28,2007,New South Wales,7176800,504769,1568.9,218.6,3108.1,321.7
29,2007,Northern Territory,213748,18564,82.8,387.3,4459.6,224.2
30,2007,Queensland,4111018,269724,1329.0,323.3,4927.2,203.0
31,2007,South Australia,1570619,91387,375.5,239.1,4108.5,243.4
32,2007,Tasmania,493262,25832,113.3,229.7,4386.9,228.0
33,2007,Victoria,5153522,345381,1440.4,279.5,4170.4,239.8
34,2007,Western Australia,2106139,200733,821.0,389.8,4089.9,244.5
35,2008,New South Wales,7291829,515881,1610.7,220.9,3122.2,320.3
36,2008,Northern Territory,219874,18765,96.0,436.6,5115.6,195.5
37,2008,Queensland,4219505,282505,1289.5,305.6,4564.7,219.1
38,2008,South Australia,1588665,95674,372.5,234.5,3893.8,256.8
39,2008,Tasmania,498568,26932,115.5,231.7,4288.9,233.2
